municipio_ciudad;departamento;tarifa
SAN ANTONIO DE PEREIRA;Antioquia;10200
ABEJORRAL ;Antioquia;13000
ALEJANDRÍA ;Antioquia;13000
ALTAMIRA ;Antioquia;13000
AMAGÁ ;Antioquia;13000
AMALFI ;Antioquia;13000
ANDES ;Antioquia;13000
ANGELOPÓLIS ;Antioquia;13000
ANGOSTURA ;Antioquia;13000
ANORÍ  ;Antioquia;13000
ANZA  ;Antioquia;13000
APARTADÓ  ;Antioquia;10200
ARBOLETES ;Antioquia;13000
ARGELIA ;Antioquia;13000
ARMENIA MANTEQUILLA ;Antioquia;13000
BARBOSA  ;Antioquia;10200
BELLO  ;Antioquia;10200
BELMIRA ;Antioquia;13000
BETANIA ;Antioquia;13000
BETULIA ;Antioquia;13000
BOLOMBOLO ;Antioquia;13000
BRICEÑO  ;Antioquia;13000
BURITICÁ  ;Antioquia;13000
CÁCERES ;Antioquia;13000
CAICEDO ;Antioquia;13000
CALDAS  ;Antioquia;10200
CAMPAMENTO  ;Antioquia;13000
CAÑASGORDAS ;Antioquia;13000
CARACOLÍ ;Antioquia;13000
CARAMANTA  ;Antioquia;13000
CAREPA  ;Antioquia;10200
CARMEN DE VIBORAL  ;Antioquia;10200
CAROLINA DEL PRINCIPE ;Antioquia;13000
CAUCASIA  ;Antioquia;10200
CHIGORODO  ;Antioquia;10200
CISNEROS ;Antioquia;13000
CIUDAD BOLÍVAR ;Antioquia;13000
COCORNÁ ;Antioquia;13000
CONCEPCIÓN ;Antioquia;13000
CONCORDIA ;Antioquia;13000
COPACABANA  ;Antioquia;10200
CURRULAO  ;Antioquia;10200
DABEIBA ;Antioquia;13000
DON MATÍAS ;Antioquia;13000
DORADAL ;Antioquia;13000
EBÉJICO ;Antioquia;13000
EL BAGRE ;Antioquia;13000
EL PEÑOL ;Antioquia;13000
EL REPOSO ZONA URABA  ;Antioquia;10200
EL RETIRO  ;Antioquia;10200
EL TOTUMO  ;Antioquia;10200
EL TOTUMO ZONA URABA ;Antioquia;10200
EL TRES ZONA URABA   ;Antioquia;10200
ENTRERRIOS ;Antioquia;13000
ENVIGADO  ;Antioquia;10200
FREDONIA ;Antioquia;13000
FRONTINO ;Antioquia;13000
GIRALDO ;Antioquia;13000
GIRARDOTA  ;Antioquia;10200
GÓMEZ PLATA ;Antioquia;13000
GRANADA ;Antioquia;13000
GUADALUPE ;Antioquia;13000
GUARNE  ;Antioquia;10200
GUATAPÉ ;Antioquia;13000
HELICONIA ;Antioquia;13000
HISPANIA ;Antioquia;13000
ITAGÜÍ  ;Antioquia;10200
JARDÍN ;Antioquia;13000
JERICÓ ;Antioquia;13000
LA CEJA  ;Antioquia;10200
LA CRUZADA ;Antioquia;13000
LA ESTRELLA  ;Antioquia;10200
LA PINTADA ;Antioquia;13000
LA SIERRA ;Antioquia;13000
LA TABLAZA  ;Antioquia;10200
LA UNIÓN  ;Antioquia;10200
LIBORINA  ;Antioquia;13000
MACEO ;Antioquia;13000
MARINILLA  ;Antioquia;10200
MEDELLÍN  ;Antioquia;10200
MONTEBELLO ;Antioquia;13000
MUTATÁ ;Antioquia;13000
NARIÑO ;Antioquia;13000
NECOCLÍ  ;Antioquia;10200
NUEVA COLONIA ZONA URABA  ;Antioquia;10200
OLAYA ;Antioquia;13000
PALERMO ;Antioquia;13000
PALMITAS ;Antioquia;13000
PEQUE ;Antioquia;13000
PUEBLORRICO ;Antioquia;13000
PUERTO BERRÍO ;Antioquia;13000
PUERTO BOYACÁ ;Antioquia;13000
PUERTO NARE ;Antioquia;13000
PUERTO TRIUNFO ;Antioquia;13000
PUERTO VALDIVIA ;Antioquia;13000
REMEDIOS ;Antioquia;13000
RIONEGRO  ;Antioquia;10200
SABANALARGA  ;Antioquia;13000
SABANETA  ;Antioquia;10200
SALGAR ;Antioquia;13000
SAN ANDRÉS DE CUERQUIA ;Antioquia;13000
SAN ANTONIO DE PRADO  ;Antioquia;10200
SAN CARLOS ;Antioquia;13000
SAN CRISTOBAL  ;Antioquia;10200
SAN FRANCISCO ;Antioquia;13000
SAN JERÓNIMO ;Antioquia;13000
SAN JOSÉ DE LA MONTAÑA ;Antioquia;13000
SAN JOSÉ DEL NUS ;Antioquia;13000
SAN JUAN DE URABA ;Antioquia;13000
SAN LUIS ;Antioquia;13000
SAN PEDRO DE LOS MILAGROS ;Antioquia;10200
SAN PEDRO DE URABÁ ;Antioquia;13000
SAN RAFAEL ;Antioquia;13000
SAN ROQUE ;Antioquia;13000
SAN VICENTE ;Antioquia;13000
SANTA BÁRBARA ;Antioquia;13000
SANTA ELENA  ;Antioquia;10200
SANTA ISABEL ;Antioquia;13000
SANTA ROSA DE OSOS ;Antioquia;13000
SANTAFE DE ANTIOQUIA ;Antioquia;13000
SANTO DOMINGO ;Antioquia;13000
SANTUARIO  ;Antioquia;10200
SEGOVIA ;Antioquia;13000
SEVILLA ;Antioquia;13000
SONSÓN ;Antioquia;13000
SOPETRÁN ;Antioquia;13000
TÁMESIS ;Antioquia;13000
TARAZÁ ;Antioquia;13000
TARSO ;Antioquia;13000
TITIRIBÍ ;Antioquia;13000
TOLEDO ;Antioquia;13000
TURBO  ;Antioquia;10200
URRAO ;Antioquia;13000
VALDIVIA ;Antioquia;13000
VALPARAISO ;Antioquia;13000
VEGACHÍ ;Antioquia;13000
VENECIA ;Antioquia;13000
VERSALLES ;Antioquia;13000
YALÍ ;Antioquia;13000
YARUMAL ;Antioquia;13000
YOLOMBÓ ;Antioquia;13000
YONDÓ ;Antioquia;10200
ZARAGOZA ;Antioquia;13000
ABRIAQUÍ ;Antioquia ;13000
ITUANGO ;Antioquia  ;13000
ARAUCA ;Arauca;10200
